time,ax,ay,az,aT
2.302000,0.7641,-0.4177,0.2673,0.911
2.303000,0.5776,-0.2467,0.1909,0.657
2.304000,0.4312,-0.1002,0.0283,0.444
2.305000,0.3142,-0.0162,0.0032,0.315
2.307000,0.2762,0.0255,0.1013,0.295
2.312000,0.2886,-0.0024,0.0945,0.304
2.319000,0.2895,-0.0340,0.0867,0.304
2.323000,0.2254,-0.0201,0.0333,0.229
2.327000,0.1715,-0.0338,-0.0395,0.179
2.332000,0.0517,-0.0115,-0.1064,0.119
2.338000,-0.0898,0.0144,-0.1354,0.163
2.342000,-0.1612,0.0009,-0.1471,0.218
2.346000,-0.2217,-0.0747,-0.2889,0.372
2.352000,-0.2958,-0.2541,-0.7148,0.814
2.357000,-0.3241,-0.3158,-0.7332,0.862
2.362000,-0.2103,-0.4094,-0.6059,0.761
2.380000,-0.1168,-0.4976,-0.5556,0.755
2.381000,-0.2600,-0.4968,-0.5518,0.787
2.381000,-0.3821,-0.5209,-0.6197,0.895
2.412000,-0.4248,-0.5293,-0.5366,0.865
2.413000,-0.4700,-0.6215,-0.5646,0.962
2.414000,-0.4201,-0.7782,-0.5327,1.032
2.414000,-0.3019,-0.8751,-0.5319,1.068
2.415000,-0.2213,-0.9218,-0.4580,1.053
2.416000,-0.3819,-0.9567,-0.6232,1.204
2.416000,-0.5423,-0.9894,-0.8047,1.386
2.419000,-0.5545,-1.0658,-0.9253,1.516
2.425000,-0.3716,-1.2095,-0.9837,1.603
2.428000,-0.2147,-1.2244,-0.8699,1.517
2.438000,-0.1501,-1.1033,-0.6326,1.281
2.439000,0.1951,-0.2324,-0.4235,0.521
2.443000,0.8495,2.3065,-1.0806,2.685
2.448000,1.0494,4.0057,-2.7763,4.985
2.455000,0.7237,2.5336,-3.3830,4.288
2.459000,1.0334,2.0362,-1.6623,2.824
2.463000,1.4068,1.8378,-0.7706,2.439
2.478000,1.3223,0.9106,-0.9387,1.860
2.479000,0.9270,-0.5218,-1.2384,1.633
2.480000,0.5308,-1.9236,-0.7234,2.123
2.483000,0.1237,-3.0855,0.1305,3.091
2.503000,-0.2172,-3.3060,0.4460,3.343
2.506000,-0.6577,-3.1584,0.6445,3.290
2.507000,-0.8598,-3.2626,0.8394,3.477
2.508000,-0.8490,-2.8487,0.7877,3.075
2.511000,-0.7769,-2.1753,0.4661,2.356
2.514000,-0.7385,-1.6511,0.1191,1.813
2.519000,-0.6467,-1.2316,-0.0809,1.393
2.524000,-0.4691,-0.9494,-0.1224,1.066
2.529000,-0.0741,-0.7904,0.0262,0.794
2.535000,0.1917,-0.7524,0.0585,0.779
2.539000,0.3440,-0.7257,-0.0417,0.804
2.544000,0.5626,-0.6914,-0.1115,0.898
2.549000,0.7894,-0.6329,-0.1807,1.028
2.554000,0.9372,-0.5624,-0.2180,1.115
2.560000,1.0609,-0.4309,-0.1993,1.162
2.565000,1.1455,-0.3367,-0.1394,1.202
2.571000,1.2111,-0.1494,-0.1611,1.231
2.575000,1.2291,0.0316,-0.3013,1.266
2.580000,1.2406,0.1767,-0.4426,1.329
2.599000,1.2494,0.4687,-0.4462,1.407
2.600000,1.2723,0.6769,-0.3444,1.482
2.602000,1.2878,0.7977,-0.4331,1.576
2.602000,1.3045,0.9499,-0.5539,1.706
2.636000,1.2750,1.1205,-0.5598,1.787
2.638000,1.1852,1.2366,-0.5566,1.801
2.639000,1.1177,1.3008,-0.6113,1.821
2.641000,1.0559,1.3335,-0.7651,1.865
2.642000,0.9856,1.3339,-0.8919,1.883
2.642000,0.8169,1.3616,-0.9323,1.841
2.643000,0.6445,1.4216,-1.0444,1.878
2.644000,0.6102,1.4503,-1.0631,1.899
